institution_id,institution_name,sector,institution_size,data_quality,data_governance,data_integration,system_capability,ai_tooling,infrastructure_resilience,fca_alignment,consumer_duty,audit_trail,talent_readiness,change_management,leadership_commitment,bias_mitigation,explainability,accountability_structures
INST_001,McLean Financial Services,debt_purchaser,large,2,3,2,2,2,1,3,4,4,2,2,2,2,2,3
INST_002,Barker Debt Management,retail_bank,small,5,4,4,4,2,5,4,3,3,3,3,3,3,1,2
INST_003,Carter Asset Finance,fintech_lender,large,5,4,3,3,4,2,3,4,4,4,4,4,4,5,5
INST_004,Pritchard Finance Group,debt_purchaser,large,5,5,4,3,3,2,4,3,4,3,3,3,3,2,3
INST_005,Austin Lending Partners,debt_purchaser,small,3,2,3,2,2,3,2,3,1,1,1,1,2,2,3
INST_006,Elliott Asset Finance,retail_bank,mid,3,4,4,3,3,3,4,5,4,3,3,4,3,3,3
INST_007,Watts Capital Management,debt_purchaser,mid,4,4,2,3,3,3,3,3,4,4,3,3,2,1,2
INST_008,Carr Debt Management,credit_union,mid,3,3,3,3,2,2,3,3,3,3,3,3,3,3,4
INST_009,Saunders Lending Partners,debt_purchaser,mid,3,3,3,2,3,3,4,4,4,3,3,4,3,4,4
INST_010,Jackson Recovery Services,fintech_lender,mid,3,2,2,5,5,5,3,2,2,3,3,4,4,4,3
INST_011,Knight Capital Services,fintech_lender,small,2,2,3,3,4,3,3,2,2,3,3,5,3,4,3
INST_012,Payne Debt Management,retail_bank,large,3,4,3,4,4,4,4,5,5,3,3,3,4,4,5
INST_013,Norton Capital Management,retail_bank,small,4,3,4,5,4,5,3,3,3,3,4,2,2,3,3
INST_014,Holland Funding Group,retail_bank,large,2,4,4,4,4,5,4,5,4,5,4,4,5,5,5
INST_015,Bailey Finance Group,retail_bank,mid,4,5,4,5,5,4,4,5,5,5,5,4,3,5,4
INST_016,Thompson Asset Finance,debt_purchaser,large,5,3,4,3,2,5,3,5,3,3,2,4,1,2,3
INST_017,Griffiths Credit Management,fintech_lender,small,3,3,3,2,3,2,4,5,4,2,1,2,3,3,3
INST_018,Phillips Finance Group,debt_purchaser,mid,3,3,4,3,1,3,4,3,3,3,2,2,4,2,3
INST_019,John Recovery Services,debt_purchaser,mid,4,4,3,2,3,2,4,3,4,2,2,2,3,3,3
